ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
-3873,236,6918,0,-57,0,15.73999977,0.699999988,0.180000007
-3873,236,6918,0,-57,0,15.73999977,0.699999988,0.180000007
-3873,236,6918,0,-57,0,15.73999977,0.699999988,0.180000007
-3873,236,6918,0,-57,0,15.73999977,0.699999988,0.180000007
-3873,236,6918,0,-57,0,15.73999977,0.699999988,0.180000007
-3873,236,6918,0,-57,0,15.73999977,0.699999988,0.180000007
-3873,236,6918,0,-57,0,15.73999977,0.699999988,0.180000007
-3873,236,6918,0,-57,0,10.43999958,0.870000005,-4.320000172
-3873,236,6918,0,-57,0,10.43999958,0.870000005,-4.320000172
-3041,300,7314,0,-57,0,10.43999958,0.870000005,-4.320000172
-3041,300,7314,0,-57,0,10.43999958,0.870000005,-4.320000172
