Timestamp;Y;Y;rol
26258000;-5.125096E-001;1.465851E+002;1.823034E+002
26269000;-5.135910E-001;1.481259E+002;1.692767E+002
26280000;-5.146751E-001;1.503671E+002;1.545692E+002
26291000;-5.157414E-001;1.525382E+002;1.388812E+002
26302000;-5.167836E-001;1.525382E+002;1.215823E+002
26314000;-5.177620E-001;1.507172E+002;1.193411E+002
26325000;-5.186772E-001;1.507172E+002;1.771000E+002
26337000;-5.195290E-001;1.648645E+002;1.290061E+002
26348000;-5.203242E-001;1.661251E+002;1.327881E+002
26359000;-5.211213E-001;1.661251E+002;1.327881E+002
26370000;-5.219569E-001;1.666854E+002;1.358696E+002
26381000;-5.228164E-001;1.648645E+002;1.382508E+002
26392000;-5.236821E-001;1.638840E+002;1.436436E+002
26403000;-5.245546E-001;1.637439E+002;1.445541E+002
26414000;-5.254093E-001;1.626233E+002;1.432234E+002
26426000;-5.262389E-001;1.608024E+002;1.435035E+002
26437000;-5.270220E-001;1.572306E+002;1.421729E+002
26448000;-5.277783E-001;1.534486E+002;1.361498E+002
26460000;-5.285707E-001;1.488963E+002;1.334184E+002
26472000;-5.293797E-001;1.492465E+002;1.381108E+002
26483000;-5.302494E-001;1.526082E+002;1.400718E+002
26495000;-5.311491E-001;1.544291E+002;1.409823E+002
26507000;-5.320571E-001;1.561800E+002;1.393714E+002
26519000;-5.329859E-001;1.574407E+002;1.362198E+002
26531000;-5.338697E-001;1.593316E+002;1.319476E+002
26543000;-5.347221E-001;1.607324E+002;1.294263E+002
26554000;-5.355401E-001;1.588414E+002;1.251541E+002
26565000;-5.363539E-001;1.563201E+002;1.208820E+002
26576000;-5.371853E-001;1.551295E+002;1.167498E+002
26588000;-5.380345E-001;1.541490E+002;1.110769E+002
26599000;-5.388954E-001;1.540790E+002;1.094661E+002
26610000;-5.388954E-001;1.561100E+002;1.104466E+002
26622000;-5.397032E-001;1.584912E+002;1.112870E+002
26634000;-5.404754E-001;1.589114E+002;1.136683E+002
26646000;-5.412115E-001;1.585612E+002;1.165397E+002
26657000;-5.419112E-001;1.585612E+002;1.163997E+002
26669000;-5.426309E-001;1.612226E+002;1.143686E+002
26680000;-5.433940E-001;1.638139E+002;1.109369E+002
26691000;-5.441952E-001;1.638139E+002;1.542000E+002
26702000;-5.450143E-001;1.676659E+002;1.060343E+002
26714000;-5.458269E-001;1.709576E+002;1.060343E+002
26725000;-5.466004E-001;1.671757E+002;1.049138E+002
26736000;-5.473433E-001;1.641641E+002;1.014820E+002
26749000;-5.480084E-001;1.609425E+002;1.077852E+002
26760000;-5.486869E-001;1.609425E+002;1.149289E+002
26771000;-5.494125E-001;1.619930E+002;1.149289E+002
26783000;-5.501515E-001;1.634638E+002;1.212321E+002
26795000;-5.509065E-001;1.633937E+002;1.238935E+002
26806000;-5.516847E-001;1.624833E+002;1.295664E+002
26817000;-5.524691E-001;1.621331E+002;1.342588E+002
26827000;-5.532795E-001;1.620630E+002;1.328581E+002
26839000;-5.541346E-001;1.616428E+002;1.308971E+002
26850000;-5.550337E-001;1.624833E+002;1.290761E+002
26861000;-5.559580E-001;1.615028E+002;1.281657E+002
26873000;-5.568771E-001;1.584912E+002;1.283057E+002
26885000;-5.578181E-001;1.583512E+002;1.261346E+002
26897000;-5.587591E-001;1.583512E+002;1.322278E+002
26908000;-5.596930E-001;1.591916E+002;1.385310E+002
26919000;-5.606302E-001;1.608724E+002;1.422429E+002
26930000;-5.615435E-001;1.609425E+002;1.447642E+002
26941000;-5.624306E-001;1.595418E+002;1.458848E+002
26952000;-5.624306E-001;1.599620E+002;1.439938E+002
26963000;-5.632967E-001;1.599620E+002;1.439938E+002
26973000;-5.641379E-001;1.604522E+002;1.427332E+002
26986000;-5.649779E-001;1.604522E+002;1.430833E+002
26998000;-5.657989E-001;1.582811E+002;1.424530E+002
27009000;-5.666202E-001;1.573006E+002;1.425230E+002
27019000;-5.674592E-001;1.546393E+002;1.425931E+002
27031000;-5.682908E-001;1.521880E+002;1.418927E+002
27042000;-5.691319E-001;1.546393E+002;1.453945E+002
27053000;-5.699754E-001;1.576508E+002;1.456046E+002
27065000;-5.708076E-001;1.603822E+002;1.477057E+002
27077000;-5.715935E-001;1.594017E+002;1.499468E+002
27089000;-5.723529E-001;1.579309E+002;1.547093E+002
27100000;-5.731098E-001;1.589114E+002;1.587013E+002
27111000;-5.738474E-001;1.583512E+002;1.620630E+002
27123000;-5.745483E-001;1.558999E+002;1.652847E+002
27133000;-5.752559E-001;1.530284E+002;1.675259E+002
27145000;-5.760075E-001;1.512075E+002;1.655648E+002
27155000;-5.760075E-001;1.507873E+002;1.584912E+002
27167000;-5.768206E-001;1.507873E+002;1.566003E+002
27179000;-5.776823E-001;1.541490E+002;1.629035E+002
27191000;-5.785398E-001;1.541490E+002;1.680161E+002
27202000;-5.793834E-001;1.573006E+002;1.731287E+002
27213000;-5.801923E-001;1.549194E+002;1.765605E+002
27225000;-5.809779E-001;1.535887E+002;1.781713E+002
27236000;-5.817803E-001;1.535887E+002;2.587000E+002
27247000;-5.825692E-001;1.522580E+002;1.811829E+002
27259000;-5.833718E-001;1.509273E+002;1.821634E+002
